100 LAT LONG PCC PCN MEM ST BW COST TP
38 44.631776 10.905878 9.2 4 122.50511 528.53702 0 0.00097 5.43478 
39 44.544092 10.778658 9.2 4 34.43254 299.21978 0 0.00097 5.43478 
40 44.613096 10.935387 17.4 6 32.16132 475.3647 0 0.00121 4.31034 
41 44.741668 10.925969 24 8 5.85509 38.00676 0 0.00138 4.16667 
42 44.622677 10.912607 3.2 2 5.33992 339.27717 0 0.00085 7.8125 
43 44.651003 10.935226 9.2 4 30.58523 52.96984 0 0.00097 5.43478 
44 44.652821 10.904157 30 10 35.32492 398.89188 0 0.00153 4.16667 
45 44.625540 10.960703 24 8 66.30189 665.34021 0 0.00138 4.16667 
46 44.624342 10.909513 9.2 4 103.72848 148.06762 0 0.00097 5.43478 
47 44.611628 10.934530 24 8 68.38961 41.13658 0 0.00138 4.16667 
48 44.622497 10.943233 3.2 2 90.48883 846.29908 0 0.00085 7.8125 
49 44.627686 10.935059 9.2 4 0.38657 352.7428 0 0.00097 5.43478 
50 44.620104 10.931738 17.4 6 49.87356 14.14638 0 0.00121 4.31034 
51 44.640614 10.915871 30 10 64.8182 802.535 0 0.00153 4.16667 
52 44.630068 10.924922 17.4 6 68.72131 521.12145 0 0.00121 4.31034 
53 44.656872 10.892369 9.2 4 4.07198 471.53993 0 0.00097 5.43478 
54 44.646006 10.887044 17.4 6 87.31885 479.51768 0 0.00121 4.31034 
55 44.638034 10.938759 30 10 85.39678 2.05634 0 0.00153 4.16667 
56 44.660255 10.898333 30 10 24.47842 784.60992 0 0.00153 4.16667 
57 44.625999 10.946590 9.2 4 73.83929 799.93724 0 0.00097 5.43478 
58 44.642136 10.927896 30 10 3.0155 241.73159 0 0.00153 4.16667 
59 44.631721 10.885032 24 8 45.47021 367.44095 0 0.00138 4.16667 
60 44.663518 10.895345 17.4 6 72.9879 1.99515 0 0.00121 4.31034 
61 44.635874 10.917106 3.2 2 57.00589 258.384 0 0.00085 7.8125 
62 44.656358 10.944253 30 10 22.7378 70.0139 0 0.00153 4.16667 
63 44.631143 10.904487 9.2 4 25.58143 217.9806 0 0.00097 5.43478 
64 44.616463 10.925836 3.2 2 67.33495 794.36786 0 0.00085 7.8125 
65 44.542902 10.955749 3.2 2 4.63316 425.46891 0 0.00085 7.8125 
66 44.641705 10.908636 9.2 4 26.63456 901.75452 0 0.00097 5.43478 
67 44.649994 10.899677 30 10 60.78822 188.70148 0 0.00153 4.16667 
68 44.653862 10.917182 3.2 2 7.31518 763.91426 0 0.00085 7.8125 
69 44.640921 10.807400 3.2 2 81.85426 893.24164 0 0.00085 7.8125 
70 44.649488 10.936277 9.2 4 9.1217 746.81983 0 0.00097 5.43478 
71 44.635793 10.865473 17.4 6 29.65544 650.16548 0 0.00121 4.31034 
72 44.657218 10.899983 17.4 6 110.60451 161.06452 0 0.00121 4.31034 
73 44.666175 10.931018 30 10 9.65305 854.03871 0 0.00153 4.16667 
74 44.649191 10.924138 24 8 49.94794 154.53275 0 0.00138 4.16667 
75 44.639842 10.839160 17.4 6 102.54854 371.3464 0 0.00121 4.31034 
76 44.525564 10.892628 3.2 2 85.44166 338.93789 0 0.00085 7.8125 
77 44.703144 10.949882 3.2 2 99.94661 904.57031 0 0.00085 7.8125 
78 44.673521 10.912881 3.2 2 121.43579 698.6878 0 0.00085 7.8125 
79 44.586573 10.932468 30 10 78.89291 160.67188 0 0.00153 4.16667 
80 44.702964 10.952230 17.4 6 13.24565 509.88117 0 0.00121 4.31034 
81 44.628158 10.917498 30 10 105.0264 445.88071 0 0.00153 4.16667 
82 44.630239 10.974414 17.4 6 14.15592 803.00757 0 0.00121 4.31034 
83 44.632309 10.922486 9.2 4 50.29441 495.24137 0 0.00097 5.43478 
84 44.648502 10.921246 24 8 4.44802 70.0758 0 0.00138 4.16667 
85 44.577643 10.942655 9.2 4 114.84479 229.81567 0 0.00097 5.43478 
86 44.629978 10.935538 30 10 69.89808 898.45914 0 0.00153 4.16667 
87 44.666018 10.943080 9.2 4 71.02592 280.08713 0 0.00097 5.43478 
88 44.627177 10.925131 3.2 2 105.06886 95.74846 0 0.00085 7.8125 
89 44.661654 10.965658 3.2 2 124.95826 129.05297 0 0.00085 7.8125 
90 44.631943 10.934245 24 8 82.70277 231.40429 0 0.00138 4.16667 
91 44.640595 10.919339 3.2 2 81.78773 17.37916 0 0.00085 7.8125 
92 44.636726 10.941892 9.2 4 25.53976 123.94775 0 0.00097 5.43478 
93 44.637412 10.941054 3.2 2 15.00919 191.41174 0 0.00085 7.8125 
94 44.664245 10.858545 17.4 6 124.97838 715.11705 0 0.00121 4.31034 
95 44.643166 10.932873 9.2 4 94.03519 78.30935 0 0.00097 5.43478 
96 44.650069 10.903798 3.2 2 68.96175 745.49162 0 0.00085 7.8125 
97 44.631015 10.917223 24 8 105.80448 215.43894 0 0.00138 4.16667 
98 44.646281 10.843797 9.2 4 31.45369 670.01748 0 0.00097 5.43478 
99 44.651873 10.918554 17.4 6 90.30666 792.48475 0 0.00121 4.31034 
100 44.588209 10.970924 24 8 37.4289 990.42168 0 0.00138 4.16667 
